WKT,nombre,descripción
"POINT (-70.938307 -39.598288)",Pilo Lil_Seguridad,
"POINT (-71.091493 -39.608283)",Aucapan_Incendios Forestales,
"POINT (-70.933513 -39.370515)",Rahue_Seguridad,
"POINT (-71.353245 -40.169914)",Casa de Te Arrayan_Incendios Forestales,
"POINT (-71.358958 -40.161671)",Lago Lacar_Turismo,
"POINT (-71.353395 -40.157194)",PNL_Seguridad,
"POINT (-71.317338 -40.069376)",Puente Quilquihue_Seguridad,
"POINT (-71.085424 -39.986205)",Ruta 40 y 62_Seguridad,
"POINT (-71.069718 -39.91283)",Entrada Junin_Seguridad,
"POINT (-71.092081 -40.724539)",Confluencia_Seguridad,
"POINT (-71.047683 -37.863532)",Caviahue_Seguridad_Turismo,
"POINT (-71.099246 -37.817211)",Copahue_Turismo_Seguridad,
"POINT (-71.385848 -40.660254)",Traful_Seguridad,
"POINT (-68.454167 -38.656306)",Marymenuco_Seguridad,
"POINT (-71.199147 -40.11975)",Golf_SMA_Incendios Forestales,
"POINT (-70.792592 -39.904599)",Paraje San Ignacio Namuncura,
"POINT (-71.070835 -39.913814)",Entrada Puesto 1_Seguridad Rural,
"POINT (-71.217577 -39.79072)",Huechulafquen_Seguridad Rural,
"POINT (-70.637943 -40.44078)",Collon Cura,
"POINT (-70.26822 -37.37604)",Delegacion Chosmalal Fauna,
"POINT (-70.575908 -38.870957)",Primeros Pinos,Dos camaras
"POINT (-71.672706 -40.735599)",Correntoso,
"POINT (-71.567132 -40.822409)",Muelle de Piedra,
"POINT (-71.066946 -39.950944)",Bomberos Junin de los Andes,
"POINT (-71.062364 -38.905812)",Villa Pehuenia,
"POINT (-71.1486138 -41.0549574)",Policia Nahuel Huapi,
"POINT (-71.5686758 -40.8179858)",VLA_Relleno,Domo
Camara
"POINT (-71.6122414 -40.7420725)",VLA Cerro Bayo,Domo y Camara
"POINT (-71.6727616 -40.7359076)",VLA Puente Correntoso,Domo y Camara
"POINT (-71.3569756 -40.1627544)",Ingreso SMA,
"POINT (-71.3177875 -40.0659198)",Lago Lolog,
"POINT (-71.3978208 -40.6625003)",Villa Traful 2,
"POINT (-71.4088919 -40.6504825)",Villa Traful 3,
"POINT (-70.118721 -37.078642)",ANP Tromen_Seguridad,
"POINT (-68.0234345 -38.9509667)",Oficina Fauna,3 camaras
"POINT (-70.2351045 -37.3998276)",Ingreso Chosmalal,2 camaras
"POINT (-71.2644521 -40.3824327)",Meliquina,
"POINT (-71.21153 -39.79684)",Boca Chimehuin,
"POINT (-71.34915 -40.15334)",Centro SMA - PNL,
